name,country,subcountry,geonameid
Guadalajara,España,Castille-La Mancha,3121070
Granollers,España,Cataluña,3121145
Gràcia,España,Cataluña,3121245
Gijón,España,Asturias,3121424
Getafe,España,Madrid,3121437
Girona,España,Cataluña,3121456
Gavà,España,Cataluña,3121519
Galdakao,España,País Vasco,3121751
Galapagar,España,Madrid,3121766
Hondarribia,España,País Vasco,3121881
Fuenlabrada,España,Madrid,3121960
Figueras,España,Asturias,3122452
Figueres,España,Cataluña,3122453
Esplugues de Llobregat,España,Cataluña,3122826
Esparreguera,España,Cataluña,3122912
Ermua,España,País Vasco,3123063
Erandio,España,País Vasco,3123104
El Prat de Llobregat,España,Cataluña,3123329
Ferrol,España,Galicia,3123493
El Astillero,España,Cantabria,3123667
Ejea de los Caballeros,España,Aragón,3123688
Eibar,España,País Vasco,3123709
Durango,España,País Vasco,3123773
Culleredo,España,Galicia,3124041
Cuenca,España,Castille-La Mancha,3124132
Coslada,España,Madrid,3124408
Cornellà de Llobregat,España,Cataluña,3124569
Colmenar Viejo,España,Madrid,3124765
Collado-Villalba,España,Madrid,3124794
Ciudad Lineal,España,Madrid,3124964
Ciutadella,España,Balearic Islands,3124967
Ciempozuelos,España,Madrid,3125082
Chamartín,España,Madrid,3125239
Castro-Urdiales,España,Cantabria,3125621
Castelldefels,España,Cataluña,3125897
Castellar del Vallès,España,Cataluña,3125915
Cardedeu,España,Cataluña,3126317
Carballo,España,Galicia,3126369
Canovelles,España,Cataluña,3126534
Cangas do Morrazo,España,Galicia,3126577
Cambrils,España,Cataluña,3126888
Cambre,España,Galicia,3126890
Camargo,España,Cantabria,3126917
Calella,España,Cataluña,3127007
Caldes de Montbui,España,Cataluña,3127035
Calatayud,España,Aragón,3127047
Calahorra,España,La Rioja,3127065
Calafell,España,Cataluña,3127066
Burlata,España,Navarre,3127451
Burgos,España,Castilla y León,3127461
Boiro,España,Galicia,3127889
Boadilla del Monte,España,Madrid,3127958
Blanes,España,Cataluña,3127978
Bilbao,España,País Vasco,3128026
Bermeo,España,País Vasco,3128174
Berga,España,Cataluña,3128201
Benicàssim,España,Valencia,3128272
Benicarló,España,Valencia,3128273
Benavente,España,Castilla y León,3128291
Béjar,España,Castilla y León,3128382
z,España,Cataluña,3128760
Barbastro,España,Aragón,3128795
Barañáin,España,Navarre,3128824
Barajas de Madrid,España,Madrid,3128832
Banyoles,España,Cataluña,3128885
Balaguer,España,Cataluña,3128978
Badalona,España,Cataluña,3129028
Azuqueca de Henares,España,Castille-La Mancha,3129046
Avilés,España,Asturias,3129135
Ávila,España,Castilla y León,3129136
Arteixo,España,Galicia,3129329
Arganda,España,Madrid,3129636
Aranjuez,España,Madrid,3129857
Aranda de Duero,España,Castilla y León,3129877
Amposta,España,Cataluña,3130131
Amorebieta,España,País Vasco,3130137
Amés,España,Galicia,3130155
